바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
0108806439009018,액티피드정 10C,"3,000",6439009018,6439,00901,8806439009018 ,8806439009018 ,643900901,6439,8,OK
0108806439021218,티어실 원스외용액 4.5g,"10,000",6439021218,6439,02121,8806439021218 ,8806439021218 ,643902121,6439,8,OK
0108806439038117,티어실 쿨크림 20g,"3,000",6439038117,6439,03811,8806439038117 ,8806439038117 ,643903811,6439,7,OK
0108806441004810172711301025137212513701243,에스로반,"2,500",6441004810172711301025137212513701243,6441,00481,8806441004810172711301025137212513701243,8806441004810 ,644100481,6441,0,OK
0108806441004810172711301025137212513719157,에스로반 10g,"2,500",6441004810172711301025137212513719157,6441,00481,8806441004810172711301025137212513719157,8806441004810 ,644100481,6441,0,OK
01088064410048651727060810250222,에스로반연고,"3,000",64410048651727060810250222,6441,00486,88064410048651727060810250222,8806441004865 ,644100486,6441,5,OK
01088064410048651727060810250232,에스로반,"3,000",64410048651727060810250232,6441,00486,88064410048651727060810250232,8806441004865 ,644100486,6441,5,OK
01088064410353331727101710240052170424005000841,징코턴정 240mg 60T,"35,000",64410353331727101710240052170424005000841,6441,03533,88064410353331727101710240052170424005000841,8806441035333 ,644103533,6441,3,OK
0108806445007831,[유유]베노플러스 겔 15g,"8,000",6445007831,6445,00783,8806445007831 ,8806445007831 ,644500783,6445,1,OK
0108806445012316,[유유]피지오머 비강세척액 스프레이 노즐(베이비) 115ml,"18,000",6445012316,6445,01231,8806445012316 ,8806445012316 ,644501231,6445,6,OK
0108806445012323,피지오머 젯노즐(젠틀) 135ml,"19,500",6445012323,6445,01232,8806445012323 ,8806445012323 ,644501232,6445,3,OK
0108806447022283,트라스트패취 30매,"18,000",6447022283,6447,02228,8806447022283 ,8806447022283 ,644702228,6447,3,OK
0108806448002215,노비프록스1.5% 100g,"9,000",6448002215,6448,00221,8806448002215 ,8806448002215 ,644800221,6448,5,OK
0108806448003113,도미나크림(히드라퀴논4%) 60g,"41,000",6448003113,6448,00311,8806448003113 ,8806448003113 ,644800311,6448,3,OK
0108806448003168,도미나크림(히드라퀴논4%) 50g,"40,000",6448003168,6448,00316,8806448003168 ,8806448003168 ,644800316,6448,8,OK
0108806448006510,메카인 2T,900,6448006510,6448,00651,8806448006510 ,8806448006510 ,644800651,6448,0,OK
0108806448009016,박트리안 10g,"3,000",6448009016,6448,00901,8806448009016 ,8806448009016 ,644800901,6448,6,OK
0108806448009412,베이덤 50g,"4,000",6448009412,6448,00941,8806448009412 ,8806448009412 ,644800941,6448,2,OK
0108806448009641,벤트락스 20g,"14,000",6448009641,6448,00964,8806448009641 ,8806448009641 ,644800964,6448,1,OK
0108806448012313,아비나 10g,"4,000",6448012313,6448,01231,8806448012313 ,8806448012313 ,644801231,6448,3,OK
