바코드,이름,판매가격,파싱문자열,회사코드,품목코드
0108806704022230,오큐시스 0.5ml x 60관,"10,000",6704022230,6704,0222
0108806704024524,오큐시스 리커버리 0.5ml x 30관,"8,500",6704024524,6704,0245
01088067060919131025050131727090,니조랄2%,"16,000",67060919131025050131727090,6706,0919
0108806717071027,오큐리스 0.5ml x 30관,"5,500",6717071027,6717,0710
0108806741012,오에수 케토핀프리 0.5ml*12관,"4,500",6741012,,
01088067410202201727073010240022,오에수 트레할로스,"6,000",67410202201727073010240022,6741,0202
0108806744015131,노이텍 90T,"24,000",6744015131,6744,0151
0108806780003611,한국 베타딘 50ml,"10,000",6780003611,6780,0036
0108806939034619,화이투벤 0.1%(성인용) 10ml,"7,500",6939034619,6939,0346
0108806942060124,자모 10g x 6P,"4,500",6942060124,6942,0601
0108809034589800,핑크퐁 베이비파우더 플러스 100g,"9,000",9034589800,9034,5898
0108809306547941,맨담 쿨파워 220ml,"3,500",9306547941,9306,5479
0108809629300070,하트세이버 츄어블 S 6T,"22,500",9629300070,9629,3000
0108809629300087,하트세이버 츄어블 M 6T,"29,700",9629300087,9629,3000
0108809629300094,하트세이버 츄어블 L 6T,"34,200",9629300094,9629,3000
0108809629300100,하트세이버 츄어블 Mini  6T,"19,800",9629300100,9629,3001
0108809629300117,하트세이버 정 Mini 10T,"13,500",9629300117,9629,3001
0108809629300124,하트세이버 정 S 10T,"16,200",9629300124,9629,3001
0108809629300131,하트세이버 정 M 10T,"19,800",9629300131,9629,3001
0108809629300148,하트세이버 정 L 10T,"27,000",9629300148,9629,3001
0118806218039448,[광동] 파비시드 240T,"30,000",,,
0118806265017918,디오라인 정 600ml 60정,"30,000",,,
0118806417038310,본엔디 120C,"40,000",,,
0118806427035125,판콜에스 내복액 1박스(30ml x 30EA),"15,000",,,
0118806433074514,젠빅플러스 120C,"35,000",,,
0118806448059612,비오딜정 5mg 60T(30T x 2EA),"30,000",,,
0118806448062018,센테라 120T(60T x 2EA),"35,000",,,
0118806448066153,도미나 라이트(히드로퀴논2%) 40g,"100,000",,,
0118806490021414,디오맥스 600mg 60T(30T x 2EA),"30,000",,,
0118806519017138,이가탄F 180C(60C x 3EA),"57,000",,,
0118806538011087,트리메부틴 말레산염 180T (90T x 2ea),"30,000",,,
0118806538045419,디펜 쿨 40매,"8,000",,,
0118806538045440,디펜 핫 40매입,"8,500",,,
0118806538053117,디펜 쿨 엑티브 80매(20매 x 4P),"10,000",,,
0118806538064311,앤도민액트800 60T,"40,000",,,
022679157188,"구트할로 발포비타민C(레몬맛) 4,500mg","3,800",,,
022679157195,구트할로 멀티발포비타민(오렌지맛),"3,800",,,
047144054339,보스톤 심플러스액(다기능용액) 120ml,"9,500",,,
0734598325299,코랄(산호)칼슘 마그네슘 2:1 180T(90T x 2EA),"40,000",,,
073626600015,퀵스탑 지혈제 파우더 14g,"20,000",,,
0785249454417,당엔파워 프로바이오틱스 120C(60C x 2EA),"60,000",,,
0803261523,포텐스틱1포,"2,000",,,
08806524000425,[한국알콘] 듀라티얼즈안연고 3.5g,"3,500",,,
08806706086926,세비안관류제 20ml x 20EA,"6,500",,,
1 ,아이톡쿨 라이트 점안액 14ml,"3,500",,,
1 88 06581 05681 3,비맥스골드(120t),"35,000",,,
1 88 06581 05891 6,비맥스액티브(120t),"35,000",,,
1 88 06581 06311 8,비맥스메타(120t),"39,000",,,
1 88 06581 08201 0,비맥스메타비(120t),"44,000",,,
1 88 06581 08444 1,비맥스제트(100t),"52,000",,,
1 88 06581 08511 0,비맥스에버프리미엄(120t),"42,000",,,
1000000000009 ,테스트,100,,,
1000001600000 ,RX 롱 덕용(24매),"10,000",,,
1000005000004 ,타세놀500mg,"1,500",,,
1000028500000 ,메디터치 2,"7,000",,,
1000029300005 ,키드큐 홍삼젤리,"50,000",,,
1000029700003 ,메디터치 H 번 5*7,"9,000",,,
1000030800006 ,메디터치 H 리퀴드,"9,000",,,
1000031000009 ,메디터치 A(1mm) 10*10 1매,"9,000",,,
1000032100005 ,메디터치 A(1mm) 4*9 3매,"9,000",,,
1000032400006 ,키드큐 키즈플러스 젤리,"42,000",,,
1000033700006 ,키드큐 쾌변젤리,"42,000",,,
1000035100002 ,더마큐15g 연고,"2,500",,,
1000035400003 ,메디터치 탄력밴드(중형),"7,500",,,
1000035600007 ,"메디터치탄력밴드(혼합형)일반, 소형, 타원","8,000",,,
1000036200008 ,아로나민골드300정,"85,000",,,
1000036400002 ,더마틱스울트라 키즈,"18,000",,,
1000036600006 ,메디터치 엄마마음,"8,000",,,
1000039200005 ,케이팜,"10,000",,,
1000041100003 ,제나콤,800,,,
1000041400004 ,멜라트리,"2,000",,,
1000041500001 ,리메부틴,"2,000",,,
1000041600008 ,유니쎈타,"250,000",,,
1000046200005 ,메디폼밴드소형-75*55[O],"9,000",,,
1000047100007 ,메디폼밴드중형-100*70,"10,000",,,
1000047500005 ,광동쌍화탕(신형) 100ml,"1,000",,,
1000047900003 ,메디폼밴드일반-70*30[O],"9,000",,,
1000062100006 ,서근령24매,"8,000",,,
1000073000005 ,드리클로액,"11,000",,,
1000074400002 ,메디터치 H 리퀴드,"9,000",,,
1000094000008 ,세레니아 정 (24㎎) [4정],"18,000",,,
1000094100005 ,옴니쿠어 산 250g,"16,200",,,
1000094200002 ,파나쿠어 250㎎ [20정],"13,500",,,
1000094300009 ,파나쿠어 500㎎ 20T,"21,600",,,
1000094400006 ,옥시마이신 아쿠아 100g,"9,000",,,
1000094500003 ,삼양연고 100g,"6,300",,,
1000094600000 ,클로시딘 250ml,"8,000",,,
1000094700007 ,티어젠 30g,"45,000",,,
1000094800004 ,애견용 옥시마이신 100g,"5,400",,,
1000095000007 ,세레니아 정 (16㎎) [4정],"13,500",,,
1000095600009 ,외유내간120c(행사),"60,000",,,
1000097100002 ,하버드치약(3개),"29,000",,,
1000100500003 ,포텐시에이터 40P(20P x 2EA),"48,000",,,
1000103900008 ,설사머지 50g,"8,100",,,
1000109100006 ,미등록상품,100,,,
1000110400003 ,봉투,100,,,
1000113300003 ,에스로반,"3,000",,,
1000119500001 ,민티크프레시민트플러스치약2+1행사상품,"29,000",,,
1000119600008 ,비타500낱개1병,600,,,
1000123600001 ,콘트라민정 600mg,"50,000",,,
1000123700008 ,콘트라민정,"50,000",,,
1000125500002 ,세레니아 정 (24㎎) [4정],"18,000",,,
1000125600009 ,옴니쿠어 산 (250g) [250g],"16,200",,,
1000125700006 ,[판매기록부] 옥시마이신 아쿠아 (100g) [100g],"9,000",,,
1000125800003 ,파나쿠어 250㎎ 20T,"12,000",,,
1000125900000 ,파나쿠어 500㎎ [20정],"21,600",,,
1000126000006 ,삼양연고 (100g) [100g],"6,300",,,
1000126100003 ,클로시딘 (250㎖) [250㎖],"8,000",,,
1000126200000 ,[판매기록부] 티어젠 (30g) [30g],"45,000",,,
1000126300007 ,세레니아 정 (16㎎) [4정],"13,500",,,
1000126400004 ,[판매기록부] 오리더밀 (10g) *유효기한(일/월/년) [10g],"16,200",,,
1000126500001 ,[판매기록부] 애견용 옥시마이신 (100g) [100g],"5,400",,,
1000126600008 ,옴니쿠어 산 (250g) [250g],"16,200",,,
1000126700005 ,세레니아 정 (24㎎) [4정],"18,000",,,
1000126800002 ,[판매기록부] 옥시마이신 아쿠아 (100g) [100g],"9,000",,,
1000127000005 ,파나큐어 500㎎ [20정],"21,600",,,
1000127100002 ,삼양연고 (100g) [100g],"6,300",,,
1000127200009 ,클로시딘 (250㎖) [250㎖],"8,000",,,
1000127300006 ,[판매기록부] 티어젠 (30g) [30g],"45,000",,,
1000127400003 ,세레니아 정 (16㎎) [4정],"13,500",,,
1000127500000 ,[판매기록부] 오리더밀 (10g) *유효기한(일/월/년) [10g],"16,200",,,
1000127600007 ,[판매기록부] 애견용 옥시마이신 (100g) [100g],"5,400",,,
1000129400001 ,솔표 쌍감탕액,"13,000",,,
1000134500000 ,생강상화,"7,000",,,
1000134600007 ,로게인,"70,000",,,
1000140100003 ,겔포스엘현탁액 4포,"4,500",,,
1000141200009 ,미등록상품,"12,000",,,
1000141300006 ,미등록상품,"12,000",,,
1000141400003 ,파나큐어250,"12,000",,,
